               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.087951,             0.16416,            0.030741,             0.38858,             0.11661,            0.031276,           0.0071278,            0.078013,             0.19335,            0.030686,           0.0016713,           0.0016713,            0.083771
                  36,            0.087437,             0.16793,            0.030946,              0.3928,             0.12916,             0.03278,           0.0070956,            0.078282,             0.19115,            0.030624,           0.0017111,           0.0017111,            0.083311
                  37,            0.087016,             0.16705,            0.031384,              0.3887,            0.095563,             0.02603,           0.0054821,            0.080976,             0.18879,            0.030667,           0.0017504,           0.0017504,             0.08285
                  38,            0.085426,              0.1781,             0.03094,             0.41861,             0.12649,             0.04862,            0.010864,            0.077208,             0.18629,             0.03057,            0.001789,            0.001789,            0.082389
                  39,             0.08536,             0.17373,            0.030229,             0.43627,             0.20584,            0.075836,            0.017793,            0.071919,             0.19285,            0.030186,           0.0018272,           0.0018272,            0.081927
                  40,            0.084929,              0.1735,             0.03081,             0.42386,             0.20881,            0.064643,             0.01318,            0.074602,             0.18472,            0.030243,           0.0018647,           0.0018647,            0.081465
                  41,            0.084802,             0.17194,            0.030914,             0.44668,             0.20284,             0.08251,            0.021474,            0.071131,             0.18865,            0.030109,           0.0019016,           0.0019016,            0.081002
                  42,            0.083749,             0.16719,            0.031018,             0.45852,             0.17499,            0.078955,            0.020168,            0.072352,             0.18283,            0.030236,           0.0019379,           0.0019379,            0.080538
                  43,            0.083534,              0.1719,            0.031069,             0.44816,             0.22871,            0.094926,            0.026145,            0.068106,             0.20773,            0.030176,           0.0019736,           0.0019736,            0.080074
                  44,            0.082946,             0.16709,            0.030854,             0.46412,               0.217,             0.10217,            0.026706,            0.068299,             0.18984,            0.030119,           0.0020087,           0.0020087,            0.079609
                  45,            0.082824,             0.17156,            0.030728,             0.45567,             0.25024,             0.10356,            0.027292,            0.068182,             0.18557,            0.030049,           0.0020431,           0.0020431,            0.079143
                  46,            0.082616,             0.17207,            0.030999,             0.45865,             0.23041,            0.095619,            0.022753,            0.070151,             0.18203,            0.030042,           0.0020769,           0.0020769,            0.078677
                  47,            0.081722,             0.16682,            0.030759,             0.46029,             0.25048,             0.11022,             0.03109,            0.065845,             0.18432,            0.030042,             0.00211,             0.00211,             0.07821
                  48,            0.080977,             0.17291,            0.030424,             0.44852,             0.25123,            0.099123,            0.022539,            0.069167,             0.18447,            0.030058,           0.0021424,           0.0021424,            0.077742
                  49,            0.081063,             0.17051,            0.030878,             0.47023,             0.22832,              0.1077,            0.026353,             0.06638,              0.1859,            0.030015,           0.0021742,           0.0021742,            0.077274
                  50,            0.080793,             0.17364,            0.030199,             0.47515,             0.25531,             0.12554,            0.035721,            0.065624,             0.18391,            0.030027,           0.0022052,           0.0022052,            0.076805
                  51,            0.080044,             0.17564,            0.030668,             0.47636,             0.25463,             0.12448,            0.034271,            0.065968,             0.19083,            0.030015,           0.0022356,           0.0022356,            0.076336
                  52,            0.079536,             0.17555,            0.030365,             0.46288,             0.23483,             0.10181,             0.02296,            0.068428,              0.1851,            0.029938,           0.0022652,           0.0022652,            0.075865
                  53,            0.079014,              0.1801,            0.030794,             0.48874,             0.25332,             0.13364,            0.038166,            0.063335,              0.2091,            0.029965,           0.0022942,           0.0022942,            0.075394
                  54,            0.078781,             0.17437,            0.030769,             0.47525,             0.28356,             0.13651,            0.041033,             0.06279,             0.18683,            0.030014,           0.0023224,           0.0023224,            0.074922
                  55,            0.078848,             0.17393,            0.030978,              0.4741,             0.30716,             0.13003,            0.033986,             0.06494,             0.18291,            0.030023,           0.0023499,           0.0023499,             0.07445
                  56,            0.078976,             0.17978,             0.03081,             0.50016,             0.28059,              0.1477,             0.04338,             0.06151,             0.19037,            0.030018,           0.0023766,           0.0023766,            0.073977
                  57,            0.077596,             0.17068,            0.030863,             0.48653,             0.30079,             0.14801,            0.046757,            0.061802,             0.17843,            0.030009,           0.0024026,           0.0024026,            0.073503
                  58,            0.078164,             0.17414,            0.030834,             0.49077,             0.33545,              0.1554,            0.051063,            0.059167,             0.20837,            0.030082,           0.0024279,           0.0024279,            0.073028
                  59,            0.077461,             0.16903,            0.030567,              0.5223,             0.27589,             0.16101,            0.048775,            0.059151,             0.20589,            0.030097,           0.0024524,           0.0024524,            0.072552
                  60,            0.077258,             0.16862,            0.030723,             0.49431,             0.28538,             0.13648,            0.031872,            0.064146,             0.19276,            0.030031,           0.0024761,           0.0024761,            0.072076
                  61,             0.07734,             0.17467,            0.030646,             0.48562,             0.34772,              0.1416,            0.035608,            0.063772,             0.18929,            0.030034,            0.002499,            0.002499,            0.071599
                  62,            0.077247,             0.17065,            0.030485,             0.50807,             0.27779,             0.15998,            0.045844,            0.060001,             0.19521,            0.030012,           0.0025212,           0.0025212,            0.071121
                  63,            0.076196,             0.17287,            0.030273,             0.50117,              0.3028,             0.16159,             0.05016,            0.060056,             0.17628,            0.029997,           0.0025426,           0.0025426,            0.070643
                  64,            0.075128,             0.17878,            0.030616,             0.48564,             0.35521,             0.16553,            0.055968,            0.058204,             0.18919,            0.030031,           0.0025632,           0.0025632,            0.070163
